,BorrowerState,OriginatingLender,CurrentApprovalAmount
372,KS,Central National Bank,87732670
373,KS,The Bennington State Bank,85687426
374,KS,"Bank of America, National Association",83381235
375,KS,CoreFirst Bank & Trust,80478656
376,KY,Stock Yards Bank & Trust Company,751631334
377,KY,"PNC Bank, National Association",518489471
378,KY,Republic Bank & Trust Company,480713223
379,KY,Central Bank & Trust Co.,431045519
380,KY,"Community Trust Bank, Inc.",330082135
381,KY,"JPMorgan Chase Bank, National Association",295930140
382,KY,Fifth Third Bank,276271051
383,KY,Truist Bank,251267341
384,KY,Independence Bank of Kentucky,212957065
385,KY,"Traditional Bank, Inc.",208102250
386,KY,"U.S. Bank, National Association",186685025
387,KY,"WesBanco Bank, Inc.",162837453
388,KY,German American Bank,150209462
389,KY,The Huntington National Bank,149413723
390,KY,"South Central Bank, Inc.",147421601
391,KY,Peoples Bank,124045468
392,KY,Old National Bank,113862242
393,KY,"Heritage Bank, Inc.",111682252
394,KY,First Financial Bank,99702395
395,KY,The Cecilian Bank,84483550
396,LA,Hancock Whitney Bank,1926757771
397,LA,First Horizon Bank,896814228
398,LA,"JPMorgan Chase Bank, National Association",854577244
399,LA,b1BANK,514132950
400,LA,Regions Bank,420422661
401,LA,"Home Bank, National Association",360389030
402,LA,"Prestamos CDFI, LLC",351922853
403,LA,Gulf Coast Bank and Trust Company,311412419
404,LA,Origin Bank,279023436
405,LA,"Capital Plus Financial, LLC",266856277
406,LA,Red River Bank,256029854
407,LA,Cadence Bank,247425702
408,LA,Fidelity Bank,247194848
409,LA,BankPlus,226856808
410,LA,"Capital One, National Association",189734544
411,LA,Gulf Coast Bank,170004815
412,LA,"Harvest Small Business Finance, LLC",142108082
413,LA,Cross River Bank,133151039
414,LA,First Guaranty Bank,128489710
415,LA,"Investar Bank, National Association",126498054
416,MA,"Citizens Bank, National Association",2040818844
417,MA,Eastern Bank,1786564472
418,MA,"Bank of America, National Association",1724613184
419,MA,Rockland Trust Company,1269289360
420,MA,"TD Bank, National Association",1074360382
421,MA,Manufacturers and Traders Trust Company,749737402
422,MA,"Santander Bank, National Association",545056857
423,MA,Enterprise Bank and Trust Company,539541194
424,MA,Silicon Valley Bank,471265389
425,MA,Cambridge Savings Bank,351601806
426,MA,Middlesex Savings Bank,327533702
427,MA,Salem Five Cents Savings Bank,316021840
428,MA,Cape Cod Five Cents Savings Bank,314622312
429,MA,Berkshire Bank,306953686
430,MA,Brookline Bank,302784588
431,MA,Avidia Bank,273491635
432,MA,Webster Bank National Association,266754876
433,MA,Westfield Bank,258156511
434,MA,Cambridge Trust Company,248860443
435,MA,Needham Bank,215294099
436,MD,Manufacturers and Traders Trust Company,2114286262
437,MD,Truist Bank,1438032283
438,MD,Sandy Spring Bank,1187458391
439,MD,"PNC Bank, National Association",1041688668
440,MD,"Bank of America, National Association",1024891266
441,MD,First National Bank of Pennsylvania,706203643
442,MD,"Fulton Bank, National Association",360037042
443,MD,"WesBanco Bank, Inc.",283278942
444,MD,Cross River Bank,276518407
445,MD,EagleBank,245597250
446,MD,United Bank,245062328
447,MD,"Shore United Bank, National Association",231391664
448,MD,"Wells Fargo Bank, National Association",207200496
449,MD,"Capital One, National Association",201871382
450,MD,Orrstown Bank,180412343
451,MD,Community Bank of the Chesapeake,162879547
452,MD,"Capital Bank, National Association",155597182
453,MD,Atlantic Union Bank,143035507
454,MD,First United Bank & Trust,142391050
455,MD,"Prestamos CDFI, LLC",131882697
456,ME,Bangor Savings Bank,492636870
457,ME,Camden National Bank,306420720
458,ME,"TD Bank, National Association",275926108
459,ME,Machias Savings Bank,236903436
460,ME,KeyBank National Association,196701506
461,ME,Norway Savings Bank,152581256
462,ME,First National Bank,148063879
463,ME,Gorham Savings Bank,141049488
464,ME,Manufacturers and Traders Trust Company,134674562
465,ME,"Biddeford Savings, A Division of",107763050
466,ME,Kennebunk Savings Bank,106969172
467,ME,Androscoggin Savings Bank,98154561
468,ME,Katahdin Trust Co.,95187079
469,ME,Bar Harbor Bank & Trust,91901293
470,ME,Kennebec Savings Bank,68362050
471,ME,Bath Savings Institution,66417289
472,ME,"Bank of America, National Association",52961435
473,ME,Saco & Biddeford Savings Institution,46398822
474,ME,Franklin Savings Bank,29480764
475,ME,Skowhegan Savings Bank,28659769
476,MI,The Huntington National Bank,3968236940
477,MI,"JPMorgan Chase Bank, National Association",1919092436
478,MI,Comerica Bank,1911673181
479,MI,"PNC Bank, National Association",1520267060
480,MI,Fifth Third Bank,1254735297
481,MI,Mercantile Bank,749853374
482,MI,First Merchants Bank,727080924
483,MI,"Bank of America, National Association",706322355
484,MI,Bank of Ann Arbor,478856282
485,MI,Macatawa Bank,468748392
486,MI,"Citizens Bank, National Association",451445983
487,MI,Independent Bank,397664171
488,MI,Oxford Bank,327509932
489,MI,"Prestamos CDFI, LLC",282862038
490,MI,Old National Bank,259369456
491,MI,ChoiceOne Bank,253097707
492,MI,"Harvest Small Business Finance, LLC",219618772
493,MI,Cross River Bank,218705866
494,MI,"Flagstar Bank, FSB",217003648
495,MI,"Capital Plus Financial, LLC",206388402
496,MN,"Bremer Bank, National Association",1462574265
497,MN,"U.S. Bank, National Association",869364810
498,MN,Old National Bank,741035907
499,MN,BMO Harris Bank National Association,559243084
500,MN,Choice Financial Group,426160400
501,MN,Bell Bank,421119906
502,MN,"Sunrise Banks, National Association",304974700
503,MN,"Wells Fargo Bank, National Association",292891645
504,MN,Frandsen Bank & Trust,257223943
505,MN,"Associated Bank, National Association",250264312
506,MN,Bridgewater Bank,246664785
507,MN,"Merchants Bank, National Association",240893127
508,MN,"Alerus Financial, National Association",221472129
509,MN,Tradition Capital Bank,208724982
510,MN,Minnwest Bank,207905897
511,MN,The Huntington National Bank,174323068
512,MN,Fidelity Bank,170041440
513,MN,Northeast Bank,165950885
514,MN,Minnesota Bank & Trust,162999058
515,MN,Park State Bank,162859296
516,MO,Commerce Bank,1024912033
517,MO,The Central Trust Bank,1014948617
518,MO,Enterprise Bank & Trust,626992506
519,MO,"UMB Bank, National Association",621003493
520,MO,"U.S. Bank, National Association",376854207
521,MO,Carrollton Bank,340457855
522,MO,"Bank of America, National Association",292151815
523,MO,Busey Bank,264599376
524,MO,"PNC Bank, National Association",260005462
525,MO,Midwest BankCentre,252852934
526,MO,Arvest Bank,214290158
527,MO,Simmons Bank,212578964
528,MO,The Bank of Missouri,199912909
529,MO,First State Community Bank,187066413
530,MO,Southern Bank,185274465
531,MO,Regions Bank,178332242
532,MO,First Bank,158103632
533,MO,Country Club Bank,155458159
534,MO,BMO Harris Bank National Association,146796492
535,MO,Cass Commercial Bank,136983472
536,MP,First Hawaiian Bank,36131137
537,MP,Bank of Guam,15853134
538,MP,Bank of Hawaii,11524812
539,MP,"Capital Plus Financial, LLC",189099
540,MP,Cross River Bank,99322
541,MS,Trustmark National Bank,556169788
542,MS,Community Bank of Mississippi,422273142
543,MS,Cadence Bank,377669147
544,MS,BankPlus,334954496
545,MS,Regions Bank,252619643
546,MS,Renasant Bank,236180525
547,MS,Hancock Whitney Bank,214425548
548,MS,"Prestamos CDFI, LLC",150092537
549,MS,The Citizens National Bank of Meridian,124829569
550,MS,"Capital Plus Financial, LLC",117107996
551,MS,Itria Ventures LLC,114537667
552,MS,Guaranty Bank & Trust Company,109930039
553,MS,Planters Bank & Trust Company,106200996
554,MS,BankFirst Financial Services,100418544
555,MS,Benworth Capital,97833427
556,MS,"Harvest Small Business Finance, LLC",97419206
557,MS,The First Bank,97268012
558,MS,Fountainhead SBF LLC,76186421
559,MS,"BSD Capital, LLC dba Lendistry",75058795
560,MS,Peoples Bank,69077378
561,MT,Glacier Bank,603744366
562,MT,First Interstate Bank,478814417
563,MT,Stockman Bank of Montana,424189088
564,MT,The Yellowstone Bank,110766344
565,MT,Opportunity Bank of Montana,88138421
566,MT,"U.S. Bank, National Association",69010666
567,MT,TrailWest Bank,52304637
568,MT,Independence Bank,42434352
569,MT,"First Montana Bank, Inc.",40396460
570,MT,American Bank,33525037
571,MT,Three Rivers Bank of Montana,33305758
572,MT,"Bank of Bridger, National Association",27742849
573,MT,Montana Community Development Corp.,27621769
574,MT,Farmers State Bank,27282400
575,MT,Rocky Mountain Bank,27143946
576,MT,Clearwater FCU,19876119
577,MT,Bravera Bank,19686572
578,MT,"Wells Fargo Bank, National Association",17854356
579,MT,Freedom Bank,16487203
580,MT,Bank of Montana,16262391
581,NC,Truist Bank,2883002291
582,NC,First-Citizens Bank & Trust Company,1755677578
583,NC,Pinnacle Bank,825571478
584,NC,"PNC Bank, National Association",812820361
585,NC,"Bank of America, National Association",763357781
586,NC,First National Bank of Pennsylvania,674952335
587,NC,First Horizon Bank,652465036
588,NC,"Wells Fargo Bank, National Association",502663167
589,NC,The Fidelity Bank,481569192
590,NC,First Bank,463437532
591,NC,United Community Bank,434149832
592,NC,Towne Bank,345101445
593,NC,Southern Bank and Trust Company,309609164
594,NC,Fifth Third Bank,307232065
595,NC,Live Oak Banking Company,298460574
596,NC,Cross River Bank,282858903
597,NC,Dogwood State Bank,271171938
598,NC,Customers Bank,250863871
599,NC,"SouthState Bank, National Association",250290336
600,NC,"Prestamos CDFI, LLC",167156065
601,ND,First International Bank & Trust,315907342
602,ND,Bell Bank,240863173
603,ND,"Bremer Bank, National Association",213666726
